unixtime,lat,lon,crs,spd,mmsi,shipname
1403708746,47.78348167,-122.43489,34.68,2.86,123456,TIE-FIGHTER
1403708747,47.616255,-122.4944317,16.33,1.37,123458,X-WING
1403708749,48.34472667,-122.9541333,23.76,1.4,123460,MILLENIUM FALCON
1403708754,47.61582833,-122.494245,16.41,1.38,123458,X-WING
1403708761,48.36431667,-124.3690833,11.5,1.99,123459,SLAVE I
1403708762,47.78554167,-122.4356083,34.67,2.86,123456,TIE-FIGHTER
1403708763,47.61521,-122.493995,16.49,1.39,123458,X-WING
1403708767,48.34413,-122.9555333,23.75,1.4,123460,MILLENIUM FALCON
1403708768,47.78618333,-122.4358367,34.65,2.86,123456,TIE-FIGHTER
1403708772,47.78669833,-122.4360167,34.66,2.86,123456,TIE-FIGHTER
1403708773,48.36376667,-124.3673333,11.5,1.99,123459,SLAVE I
1403708784,47.61389,-122.4934517,16.36,1.41,123458,X-WING
1403708784,47.78824167,-122.4365617,34.66,2.86,123456,TIE-FIGHTER
1403708785,48.36328333,-124.3658333,11.5,1.99,123459,SLAVE I
1403708785,48.34349833,-122.95702,23.76,1.4,123460,MILLENIUM FALCON
1403708794,47.61326167,-122.4931717,16.24,1.43,123458,X-WING
1403708797,48.36281667,-124.3643333,11.5,1.99,123459,SLAVE I
1403708797,48.34308,-122.9580133,23.79,1.4,123460,MILLENIUM FALCON
1403708798,47.61300667,-122.4930567,16.25,1.43,123458,X-WING
1403708804,47.79093833,-122.4375217,34.64,2.85,123456,TIE-FIGHTER
1403708804,48.34283833,-122.9585933,23.79,1.4,123460,MILLENIUM FALCON
1403708806,47.791195,-122.4376117,34.65,2.85,123456,TIE-FIGHTER
1403708808,47.79145167,-122.4377,34.66,2.85,123456,TIE-FIGHTER
1403708809,48.34266333,-122.9590067,23.79,1.4,123460,MILLENIUM FALCON
1403708815,48.34249,-122.95942,23.79,1.4,123460,MILLENIUM FALCON
1403708816,47.61192667,-122.4925583,16.38,1.44,123458,X-WING
1403708821,48.3619,-124.3614667,11.5,1.99,123459,SLAVE I
1403708823,47.61141333,-122.492355,16.56,1.44,123458,X-WING
1403708827,48.34203667,-122.960495,23.78,1.4,123460,MILLENIUM FALCON
1403708829,47.61141333,-122.492355,16.56,1.44,123458,X-WING
1403708833,47.61075167,-122.4921217,16.6,1.44,123458,X-WING
1403708838,48.36118333,-124.3592333,11.5,1.99,123459,SLAVE I
1403708840,47.61036333,-122.49198,16.61,1.44,123458,X-WING
1403708845,48.36095,-124.3584833,11.5,1.99,123459,SLAVE I
1403708847,47.79631333,-122.4395183,34.48,2.85,123456,TIE-FIGHTER
1403708847,47.79631333,-122.4395183,34.48,2.85,123456,TIE-FIGHTER
1403708852,47.60959667,-122.49166,16.22,1.4,123458,X-WING
1403708855,47.60941167,-122.491565,16.04,1.4,123458,X-WING
1403708858,47.60922833,-122.491465,15.91,1.39,123458,X-WING
1403708859,47.79784167,-122.440135,34.48,2.85,123456,TIE-FIGHTER
1403708862,47.60893833,-122.4912783,15.67,1.38,123458,X-WING
1403708863,48.36023333,-124.35625,11.5,1.99,123459,SLAVE I
1403708864,47.7986,-122.44048,34.37,2.85,123456,TIE-FIGHTER
1403708864,48.34077167,-122.96346,23.77,1.4,123460,MILLENIUM FALCON
1403708867,47.79885,-122.4406,34.33,2.85,123456,TIE-FIGHTER
1403708869,48.34056333,-122.9639583,23.78,1.4,123460,MILLENIUM FALCON
1403708875,48.340355,-122.9644533,23.79,1.4,123460,MILLENIUM FALCON
1403708876,47.608235,-122.49068,14.62,1.34,123458,X-WING
1403708880,47.60803667,-122.4904667,14.38,1.33,123458,X-WING
1403708887,48.35926667,-124.35325,11.5,1.99,123459,SLAVE I
1403708894,47.60741,-122.4896233,13.27,1.29,123458,X-WING
1403708894,48.33969667,-122.9660267,23.8,1.4,123460,MILLENIUM FALCON
1403708898,48.35883333,-124.3518833,11.5,1.99,123459,SLAVE I
1403708899,48.33949,-122.9665233,23.8,1.4,123460,MILLENIUM FALCON
1403708900,47.60717833,-122.4892183,12.79,1.29,123458,X-WING
1403708905,48.33931833,-122.9669367,23.81,1.4,123460,MILLENIUM FALCON
1403708906,47.80387833,-122.4429667,34.24,2.85,123456,TIE-FIGHTER
1403708910,48.35835,-124.3504,11.5,1.98,123459,SLAVE I
1403708914,47.60673167,-122.488125,11.69,1.25,123458,X-WING
1403708922,47.60656,-122.4875017,11.08,1.24,123458,X-WING
1403708923,48.35786667,-124.3489,11.5,1.98,123459,SLAVE I
1403708924,47.80601333,-122.44397,34.25,2.85,123456,TIE-FIGHTER
1403708924,47.60653833,-122.4874217,11,1.25,123458,X-WING
1403708926,47.806265,-122.4440867,34.26,2.85,123456,TIE-FIGHTER
1403708929,48.33849833,-122.968935,23.84,1.4,123460,MILLENIUM FALCON
1403708930,47.60642833,-122.4869367,10.55,1.24,123458,X-WING
1403708935,48.33829167,-122.9694333,23.82,1.4,123460,MILLENIUM FALCON
1403708936,47.60635333,-122.4864417,10.15,1.23,123458,X-WING
1403708940,47.80814333,-122.4449733,34.23,2.84,123456,TIE-FIGHTER
1403708940,47.60631333,-122.486105,9.84,1.25,123458,X-WING
1403708953,47.60625833,-122.484915,8.91,1.23,123458,X-WING
1403708953,48.35661667,-124.3449333,11.5,1.98,123459,SLAVE I
1403708956,47.60626333,-122.4847433,8.8,1.24,123458,X-WING
1403708959,48.33745,-122.97141,23.75,1.4,123460,MILLENIUM FALCON
1403708960,47.60627667,-122.4843983,8.58,1.26,123458,X-WING
