unixtime,lat,lon,crs,spd,mmsi,shipname
1403708746,47.78348167,-122.43489,34.68,2.86,123456,TIE-FIGHTER
1403708747,47.616255,-122.4944317,16.33,1.37,123458,X-WING
1403708749,48.34472667,-122.9541333,23.76,1.4,123460,MILLENIUM FALCON
1403708754,47.61582833,-122.494245,16.41,1.38,123458,X-WING
1403708761,48.36431667,-124.3690833,11.5,1.99,123459,SLAVE I
1403708762,47.78554167,-122.4356083,34.67,2.86,123456,TIE-FIGHTER
1403708763,47.61521,-122.493995,16.49,1.39,123458,X-WING
1403708767,48.34413,-122.9555333,23.75,1.4,123460,MILLENIUM FALCON
1403708768,47.78618333,-122.4358367,34.65,2.86,123456,TIE-FIGHTER
1403708772,47.78669833,-122.4360167,34.66,2.86,123456,TIE-FIGHTER
1403708773,48.36376667,-124.3673333,11.5,1.99,123459,SLAVE I
